%time,field.x,field.y,field.z
8000000,0.298502747442,-1.97507074312,1.5
8000000,0.302503504254,-1.97381416893,1.5
8000000,0.306330727777,-1.97251410328,1.5
8000000,0.309987909271,-1.97117413706,1.5
8000000,0.31348046831,-1.96979736429,1.5
8000000,0.316813428589,-1.96838672602,1.5
8000000,0.31999141732,-1.96694502622,1.5
8000000,0.323019214749,-1.96547485541,1.5
9000000,0.32590120071,-1.96397869189,1.5
10000000,0.328641893866,-1.96245882281,1.5
11000000,0.33124543239,-1.96091744038,1.5
12000000,0.333716086729,-1.95935656446,1.5
13000000,0.336057762557,-1.95777813567,1.5
14000000,0.338274496628,-1.95618393813,1.5
15000000,0.340369972967,-1.9545756909,1.5
16000000,0.342348008155,-1.95295497022,1.5
16000000,0.344212076042,-1.9513232999,1.5
18000000,0.345965785581,-1.94968207287,1.5
19000000,0.347612412037,-1.9480326408,1.5
20000000,0.349155368395,-1.94637623499,1.5
21000000,0.350597742734,-1.94471405529,1.5
22000000,0.351942762941,-1.94304719053,1.5
23000000,0.353193340975,-1.94137670658,1.5
24000000,0.354352529799,-1.93970356675,1.5
25000000,0.355423075877,-1.93802871864,1.5
26000000,0.356407866825,-1.93635301498,1.5
27000000,0.357309493873,-1.9346772989,1.5
27000000,0.358130687304,-1.93300232591,1.5
29000000,0.358873894125,-1.93132884654,1.5
30000000,0.359541696708,-1.92965753054,1.5
31000000,0.360136403946,-1.9279890471,1.5
32000000,0.360660459388,-1.92632399017,1.5
32000000,0.361116043755,-1.92466295676,1.5
34000000,0.361505468301,-1.92300647423,1.5
35000000,0.361830793799,-1.92135507556,1.5
36000000,0.362094206361,-1.91970922944,1.5
37000000,0.362297654412,-1.91806941205,1.5
38000000,0.362443205655,-1.91643604029,1.5
39000000,0.362532703285,-1.91480953993,1.5
40000000,0.362568102939,-1.91319028216,1.5
41000000,0.362551149245,-1.91157864784,1.5
41000000,0.362483691749,-1.9099749678,1.5
44000000,0.362367382743,-1.90837958289,1.5
44000000,0.362203971301,-1.90679278822,1.5
45000000,0.361995023196,-1.90521488888,1.5
46000000,0.361742192319,-1.90364614838,1.5
47000000,0.361446963354,-1.90208683981,1.5
48000000,0.361110899973,-1.90053719861,1.5
49000000,0.360735410846,-1.89899746916,1.5
49000000,0.360321974085,-1.897467862,1.5
49000000,0.359871927074,-1.89594859567,1.5
52000000,0.359386666746,-1.89443985855,1.5
53000000,0.358867463613,-1.89294184586,1.5
54000000,0.358315637533,-1.89145472622,1.5
55000000,0.357732396262,-1.88997867379,1.5
56000000,0.357118986443,-1.88851383952,1.5
57000000,0.356476570557,-1.88706037585,1.5
58000000,0.355806285492,-1.88561842569,1.5
59000000,0.35510927466,-1.88418811695,1.5
60000000,0.354386605305,-1.88276957908,1.5
61000000,0.353639348784,-1.88136292797,1.5
62000000,0.352868543181,-1.87996827381,1.5
62000000,0.352075185738,-1.8785857229,1.5
63000000,0.351260252291,-1.8772153743,1.5
65000000,0.350424700194,-1.87585731974,1.5
65000000,0.349569456748,-1.87451164625,1.5
66000000,0.348695425847,-1.87317843525,1.5
68000000,0.347803483132,-1.87185776378,1.5
69000000,0.346894491861,-1.87054970188,1.5
70000000,0.345969275606,-1.86925431807,1.5
