%time,field0,field1
12000000,0.0508413400294,0.195767631664
12000000,0.0508413400294,0.195767631664
14000000,0.0448260879878,0.206843026933
15000000,0.0324678328234,0.230034609254
15000000,0.0324678328234,0.230034609254
16000000,0.0261179333695,0.242170765688
17000000,0.0196501408909,0.254680082111
19000000,0.0130605587404,0.267571491368
19000000,0.0063468698423,0.280852832964
20000000,-0.000494372619318,0.294529872683
22000000,-0.00746457337037,0.308604383201
24000000,-0.0291197785062,0.352725393446
24000000,-0.0291197785062,0.352725393446
24000000,-0.0291197785062,0.352725393446
25000000,-0.0291197785062,0.352725393446
26000000,-0.0441900020848,0.383637508745
28000000,-0.051893757892,0.399249850037
29000000,-0.0677511050582,0.431835030615
29000000,-0.0677511050582,0.431835030615
30000000,-0.0758824608091,0.448536587988
31000000,-0.084165232505,0.465681710597
32000000,-0.0925758307534,0.482944353599
33000000,-0.101142700087,0.500683218103
33000000,-0.101142700087,0.500683218103
35000000,-0.118683385965,0.536621504363
37000000,-0.127673406865,0.554934334677
37000000,-0.136820697156,0.573755241684
39000000,-0.155580249379,0.612872772728
39000000,-0.155580249379,0.612872772728
39000000,-0.16518582637,0.633050732566
41000000,-0.174936460582,0.653471395422
42000000,-0.184838934621,0.674343344158
43000000,-0.194886400872,0.695544815614
48000000,-0.236511561542,0.783888339618
48000000,-0.236511561542,0.783888339618
48000000,-0.236511561542,0.783888339618
48000000,-0.236511561542,0.783888339618
49000000,-0.247264712551,0.806873773716
49000000,-0.247264712551,0.806873773716
50000000,-0.269169895767,0.853839861547
52000000,-0.291583341424,0.902173308629
52000000,-0.291583341424,0.902173308629
53000000,-0.302970910389,0.926842583651
53000000,-0.314475048933,0.951839596463
55000000,-0.326090276799,0.977162074369
56000000,-0.349636144867,1.02875734519
57000000,-0.349636144867,1.02875734519
58000000,-0.361557087488,1.05502120991
60000000,-0.385672547431,1.10845301905
60000000,-0.385672547431,1.10845301905
62000000,-0.397856732155,1.13561012153
64000000,-0.42244981167,1.19077835844
64000000,-0.434848056265,1.21877745422
64000000,-0.434848056265,1.21877745422
66000000,-0.447308056906,1.24704498829
68000000,-0.459822671338,1.27557506755
68000000,-0.484997407007,1.33339810957
68000000,-0.484997407007,1.33339810957
70000000,-0.510328926948,1.39219820322
70000000,-0.510328926948,1.39219820322
71000000,-0.523040389187,1.4219498975
73000000,-0.548526381183,1.48212842912
73000000,-0.548526381183,1.48212842912
75000000,-0.561290960445,1.51254458317
75000000,-0.574061827561,1.54317194196
76000000,-0.586835061738,1.57400578139
79000000,-0.612364139437,1.63627550247
79000000,-0.612364139437,1.63627550247
80000000,-0.625109082012,1.66770343706
80000000,-0.650533367636,1.73112798715
80000000,-0.650533367636,1.73112798715
80000000,-0.663201339379,1.76311861114
80000000,-0.675831261367,1.7952913729
85000000,-0.68841847801,1.82764413035
85000000,-0.700955636706,1.8601750912
86000000,-0.713437769024,1.89288281179
88000000,-0.738208769725,1.95882451453
88000000,-0.738208769725,1.95882451453
90000000,-0.750484965516,1.99205736299
91000000,-0.762678358207,2.02546470029
91000000,-0.762678358207,2.02546470029
93000000,-0.798694359793,2.12673828903
93000000,-0.798694359793,2.12673828903
97000000,-0.833702625677,2.22961253982
97000000,-0.845111568791,2.26426757686
97000000,-0.845111568791,2.26426757686
98000000,-0.845111568791,2.26426757686
98000000,-0.856375974637,2.29910807969
101000000,-0.889223119679,2.40476748936
101000000,-0.889223119679,2.40476748936
101000000,-0.889223119679,2.40476748936
103000000,-0.910251184633,2.4761809435
103000000,-0.910251184633,2.4761809435
104000000,-0.92048139828,2.51218686782
106000000,-0.930513969292,2.54839465071
106000000,-0.930513969292,2.54839465071
108000000,-0.949963564342,2.62141937789
109000000,-0.959373172995,2.6582359327
109000000,-0.968569872796,2.69525311955
111000000,-0.977554487102,2.73246752646
112000000,-0.994900377397,2.80746543823
112000000,-0.994900377397,2.80746543823
113000000,-1.00327504106,2.84523249243
114000000,-1.01146527327,2.88316346216
116000000,-1.02735216903,2.95945777869
117000000,-1.03508723922,2.99778517041
117000000,-1.03508723922,2.99778517041
118000000,-1.04271529313,3.03620481912
120000000,-1.05775492177,3.11322543714
120000000,-1.05775492177,3.11322543714
121000000,-1.06522459051,3.15177530861
123000000,-1.08047055117,3.2276123758
123000000,-1.08047055117,3.2276123758
128000000,-1.08857110819,3.26351665728
128000000,-1.10637370338,3.3281012575
128000000,-1.10637370338,3.3281012575
128000000,-1.13820261445,3.39910325318
128000000,-1.13820261445,3.39910325318
131000000,-1.16320277816,3.42474849481
131000000,-1.16320277816,3.42474849481
131000000,-1.16320277816,3.42474849481
134000000,-1.20606618964,3.42842505803
134000000,-1.20606618964,3.42842505803
134000000,-1.20606618964,3.42842505803
141000000,-1.31221351407,3.38754631251
141000000,-1.31221351407,3.38754631251
144000000,-1.35838862575,3.36937886922
144000000,-1.35838862575,3.36937886922
144000000,-1.35838862575,3.36937886922
146000000,-1.37386632943,3.36324264005
146000000,-1.38938564856,3.3570679648
148000000,-1.40494607962,3.35085595417
148000000,-1.42054646202,3.3446077424
149000000,-1.4361863606,3.33832448101
151000000,-1.46758027855,3.32565747383
151000000,-1.46758027855,3.32565747383
152000000,-1.48333240257,3.31927607935
154000000,-1.49912040069,3.31286433305
154000000,-1.51494265934,3.30642341966
161000000,-1.6265755593,3.26061966697
161000000,-1.6265755593,3.26061966697
163000000,-1.64263395961,3.25398788677
163000000,-1.65871477188,3.24733944765
164000000,-1.67481428014,3.24067608712
166000000,-1.69093095074,3.23399781181
166000000,-1.7070624297,3.22730322272
