%time,field0,field1
3000000,0.10000000002,0.10000000156
3000000,0.10000000002,0.10000000156
3000000,0.10000000002,0.10000000156
5000000,0.100000000402,0.100000003209
6000000,0.100000001029,0.100000005435
6000000,0.100000001029,0.100000005435
7000000,0.100000003008,0.100000011597
9000000,0.100000004349,0.100000015522
10000000,0.100000005918,0.100000019999
10000000,0.100000005918,0.100000019999
11000000,0.100000009709,0.100000030577
12000000,0.100000011915,0.100000036657
14000000,0.100000014316,0.100000043248
14000000,0.100000014316,0.100000043248
15000000,0.100000019662,0.100000057912
16000000,0.100000022584,0.100000065956
18000000,0.100000025657,0.100000074455
18000000,0.100000028867,0.100000083392
19000000,0.100000032201,0.100000092749
21000000,0.100000035644,0.100000102509
22000000,0.1000000428,0.100000123162
22000000,0.1000000428,0.100000123162
23000000,0.100000046483,0.100000134015
27000000,0.100000057755,0.100000168438
27000000,0.100000057755,0.100000168438
27000000,0.100000057755,0.100000168438
27000000,0.100000057755,0.100000168438
28000000,0.100000061531,0.100000180461
29000000,0.100000069009,0.1000002052
30000000,0.100000072675,0.100000217871
31000000,0.100000076269,0.100000230712
32000000,0.100000079773,0.100000243702
33000000,0.10000008317,0.100000256817
35000000,0.10000008957,0.100000283332
35000000,0.10000008957,0.100000283332
36000000,0.10000009254,0.100000296689
38000000,0.10000009793,0.100000323491
38000000,0.10000009793,0.100000323491
39000000,0.100000100319,0.100000336895
41000000,0.100000102481,0.100000350272
41000000,0.100000104402,0.100000363602
42000000,0.100000106066,0.100000376868
43000000,0.100000107458,0.100000390049
45000000,0.100000108565,0.100000403129
46000000,0.100000109871,0.100000428914
46000000,0.100000109871,0.100000428914
47000000,0.100000110044,0.100000441588
49000000,0.100000109882,0.100000454096
50000000,0.100000108513,0.100000478563
50000000,0.100000108513,0.100000478563
51000000,0.100000107286,0.100000490497
52000000,0.100000105687,0.100000502217
53000000,0.100000103707,0.100000513714
56000000,0.100000098585,0.100000536005
56000000,0.100000098585,0.100000536005
56000000,0.100000095431,0.100000546786
57000000,0.100000091877,0.100000557317
59000000,0.10000008792,0.100000567595
59000000,0.100000083559,0.100000577616
60000000,0.100000078792,0.10000058738
62000000,0.100000073619,0.100000596887
63000000,0.100000068042,0.100000606137
63000000,0.100000062062,0.100000615133
64000000,0.100000055682,0.100000623879
65000000,0.100000048907,0.100000632378
67000000,0.10000004174,0.100000640637
67000000,0.10000004174,0.100000640637
69000000,0.100000026255,0.100000656462
69000000,0.100000026255,0.100000656462
