%time,field0,field1
7878000000,27.1682229675,-3.01097187648
7879000000,27.1682229675,-3.01097187648
7880000000,27.1724311557,-3.01143987559
7880000000,27.1724311557,-3.01143987559
7882000000,27.1745198336,-3.01167486029
7883000000,27.1786663699,-3.0121467156
7883000000,27.1786663699,-3.0121467156
7884000000,27.1807242052,-3.01238355274
7886000000,27.1848088822,-3.01285896303
7886000000,27.1848088822,-3.01285896303
7887000000,27.1868357031,-3.01309750326
7889000000,27.1908583683,-3.01357617225
7889000000,27.1908583683,-3.01357617225
7890000000,27.1928541213,-3.01381626869
7892000000,27.1948395362,-3.01405685164
7893000000,27.1987791731,-3.0145394135
7893000000,27.1987791731,-3.0145394135
7895000000,27.202677214,-3.01502373151
7895000000,27.202677214,-3.01502373151
7897000000,27.2046105993,-3.01526651003
7898000000,27.2084461356,-3.01575322884
7898000000,27.2084461356,-3.01575322884
7900000000,27.2122399356,-3.01624139492
7900000000,27.2122399356,-3.01624139492
7901000000,27.214121187,-3.01648598289
7902000000,27.2159919519,-3.01673088755
7904000000,27.217852295,-3.01697609404
7904000000,27.2197021419,-3.01722158766
7905000000,27.2215415572,-3.01746735375
7907000000,27.2233704676,-3.01771337783
7907000000,27.225188938,-3.01795964543
7908000000,27.2269968958,-3.01820614229
7910000000,27.2287944063,-3.01845285417
7911000000,27.2305813978,-3.01869976699
7911000000,27.2323579357,-3.01894686672
7913000000,27.2341239494,-3.01919413951
7913000000,27.2358795042,-3.01944157155
7915000000,27.2376245639,-3.01968914918
7915000000,27.2393590934,-3.01993685884
7916000000,27.2410831583,-3.02018468703
7918000000,27.2427966904,-3.02043262042
7918000000,27.2444997552,-3.02068064573
7919000000,27.2461922857,-3.02092874985
7921000000,27.2478743473,-3.0211769197
7921000000,27.2478743473,-3.0211769197
7922000000,27.2512069312,-3.02167340507
7923000000,27.2528574539,-3.02192169505
7925000000,27.2544975075,-3.02216999968
7925000000,27.2561270278,-3.02241830651
7927000000,27.2577460804,-3.02266660308
7929000000,27.2609526582,-3.02316311653
7929000000,27.2625401865,-3.02341130915
7929000000,27.2625401865,-3.02341130915
7931000000,27.2641172525,-3.02365944301
7932000000,27.2672398787,-3.02415548717
7933000000,27.2672398787,-3.02415548717
7933000000,27.2687854437,-3.02440337407
7937000000,27.2687854437,-3.02440337407
7937000000,27.2687854437,-3.02440337407
7940000000,27.2778388871,-3.02588808214
7941000000,27.2778388871,-3.02588808214
7941000000,27.2778388871,-3.02588808214
7941000000,27.2793111265,-3.02613499366
7942000000,27.2807729362,-3.02638172175
7942000000,27.2807729362,-3.02638172175
7942000000,27.2822242593,-3.02662825573
7944000000,27.283665161,-3.02687458498
7945000000,27.2850955855,-3.02712069903
7945000000,27.2865155978,-3.02736658744
7947000000,27.2879251431,-3.02761223997
7947000000,27.2893242861,-3.02785764638
7948000000,27.2907129728,-3.02810279662
7950000000,27.2934591181,-3.0285922887
7950000000,27.2934591181,-3.0285922887
7952000000,27.294816588,-3.02883661086
7953000000,27.2975002942,-3.02932435905
